strain	YPD	YPD_BPS	YPD_Rapa	YPE	YPMalt
seg_12B	11.4459503316972	9.05511666856846	5.34152731525931	4.72440191543075	8.15962304820492
seg_12C	12.4555755466982	10.3721548194802	4.82366257581231	6.55381730478275	4.56853182975618
seg_12D	11.9828029458733	10.0143615295277	4.78377279621215	3.61582360863674	4.61111728736133
seg_13B	12.9172212126285	11.7723545944023	4.51260674904362	5.77871047141343	6.04074234620845
seg_13C	10.3495399638158	8.32966329412895	3.86456393924001	2.90272022564686	7.52204823445944
seg_13D	11.6380777593736	NA	5.44950196264673	3.54949619343668	6.23206163455557
seg_14A	11.742515745353	10.5604281486021	3.88658561246143	4.83178430841174	4.91824027782601
seg_14C	11.8663847779583	10.1621149514331	4.0053841305638	3.69825942342864	9.25902480345335
seg_14D	12.0484965436233	10.2754030608919	4.07972785905807	4.48085444506251	4.79191380714227
seg_15A	10.4248440383026	9.97520937356236	2.79946916715724	4.26748138734731	6.94462321533881
seg_15B	12.6251809343648	11.0393480014922	4.93421231122869	4.93642204975673	6.51229945480079
seg_15C	13.7373148967327	NA	4.9175074346557	5.09456225405373	4.15104440712918
seg_16A	11.7180089045319	11.4017717038928	3.1504963004197	3.97084824992461	5.09394893963617
seg_16B	11.4396481227935	11.1403365406634	4.71419053869019	3.84628146762836	6.85998021638727
seg_16C	8.2838486734524	6.15741936038463	7.87650542875439	4.43136275356435	6.3388103076375
seg_17A	11.594414822961	9.85483833154489	3.40631318866498	3.71300751006657	3.96987945590713
seg_17B	10.4173220103795	9.54330998549806	4.44218885528317	3.60952558611065	5.95184210605861
seg_17C	12.015679009862	10.0581107022473	5.13817794954102	4.24405148847581	6.69182733053113
seg_17D	13.1688634773596	NA	NA	3.95869069340739	9.41566867428747
seg_18A	11.8660356342239	11.3047377752001	4.57755311754553	5.5287283696931	7.98562970057735
seg_18C	10.4943472851253	10.1699294674175	4.75305710023751	3.62313748073272	4.85674786967922
seg_18D	16.2723905797281	NA	2.92252453151104	4.63943975629931	9.51210174131923
seg_19A	12.6362842095839	11.2742355122377	NA	4.15431430943925	4.93847687428457
seg_19B	12.5165571890688	10.7451844496618	3.06561191948526	5.3854333731385	6.89627789606429
seg_19C	12.9167053714775	10.2769319755013	6.14801579552968	3.7402981342843	7.96529400097156
seg_20A	12.3478251601499	8.45999318019683	2.64189047620318	5.17563898315708	6.01403625347356
seg_20B	13.0368275414031	10.8736441679505	3.54455084579934	4.89978493535774	6.01387857393499
seg_20C	11.1662280373592	12.4072709287309	4.74151988132765	5.51983707242512	7.79970763039646
seg_20D	11.0975375890374	9.17131906635734	3.48250736065582	3.72863092385493	6.95403309551168
seg_21A	11.0739406235669	9.27589038010704	4.50880397144564	4.11957808410906	4.48880100827042
seg_21C	13.106969621624	10.5597248820546	2.13554307558407	4.62295348764953	7.80219596118532
seg_21D	11.583580768193	10.5118487153593	4.61556794951671	4.33364520714674	4.9809798785124
seg_22A	10.8334519002708	8.79289617571922	3.54809482663179	3.91402948190266	4.23621394732246
seg_22D	11.5468845535008	10.6668935518057	3.67398179008289	3.84218416977328	8.40087359410798
seg_23A	11.3627269218507	9.90457891702183	NA	4.52330887928425	5.81460665662918
seg_23C	11.195792395299	9.60064210446868	4.53399839202954	3.79115244119466	7.71104559534792
seg_23D	14.237190662574	NA	4.72466600717696	4.66479973297084	9.00603294456328
seg_24A	13.3010367865104	10.7525129418902	3.08506447388161	4.55330639287244	5.2075530108524
seg_24B	12.5294863304063	9.93779814672286	3.30972357081714	3.96003847308413	5.74878474711389
seg_24C	10.9086813259863	9.87215837115721	5.22725366629131	3.67953080333398	4.96488128998941
seg_24D	11.106255283984	9.8907317028767	3.77776500961052	3.24012456838108	7.05153941256537
seg_25A	12.4832616257583	10.7907643695567	4.48122380626839	4.94781289724152	6.59506579127721
seg_25B	12.9410951993362	9.00879389724618	4.68129342329555	4.21062078776666	8.33359982856767
seg_25C	11.7499343301452	8.22103100290289	4.09946145930235	NA	8.75019100635318
seg_25D	13.2293516514484	10.5798798049673	3.81297348493427	4.33335576118918	5.97552042902618
seg_26A	11.8122992703468	9.48699618272945	2.34653715596346	3.82034882910939	4.63469189178573
seg_26B	14.2078883823792	11.1510469655856	4.27529275580265	4.90458696423745	8.99417260115354
seg_26C	11.3002672633322	9.35599558747247	5.57625940401985	3.95010260281051	4.47383276312106
seg_27A	13.1873331213783	6.42117780807634	4.55324475345206	4.68181779045733	5.28242374561404
seg_27B	12.3040558755082	9.7015404637721	3.56964215509911	3.96703476075913	5.64819697652642
seg_27C	14.1275474059595	10.870139280943	4.3684726004902	NA	8.7458038860332
seg_27D	9.96784748218417	10.3603174322927	3.68941114342592	4.09008480940402	6.89483487508198
seg_28A	12.8001140862206	11.131718404138	6.02901894220693	3.69354507653044	4.85399101584933
seg_28B	11.5911245833387	7.33982508129606	2.84248321682998	4.19772718653462	8.74193360170969
seg_28C	11.7493241160647	9.01021324815823	2.44975988553501	4.01062331429323	6.76891588453045
seg_28D	13.3364900361094	10.1123264564471	4.90455964880004	3.20119444485422	4.92998970278964
seg_29B	12.2568909897858	10.8284808262136	NA	4.37928770265842	8.39296357727624
seg_29C	12.5001007220089	11.0810062388086	3.31926394682152	4.73199826963463	9.2037609261456
seg_29D	12.0405089087227	11.4130322211281	4.56295620305551	4.57722713149376	7.24605670814863
seg_30A	13.0349177822547	10.9346046128702	4.04942456571374	4.49040564436259	7.76634628432724
seg_30C	12.5149893378281	10.4367284451122	8.11926275210096	3.81555330985712	9.29770262295223
seg_30D	14.8133376567493	10.6104816079543	NA	5.33917652345947	7.11836916800336
seg_31A	13.2239957632465	10.5151662744133	NA	5.4270241372157	5.57456158518142
seg_31B	11.8184582585533	10.9818441585253	5.46599706458528	NA	8.72849008822768
seg_31C	13.3227199443128	9.19932000371273	4.4793448293035	4.54050041996534	8.32994820690388
seg_31D	11.8465894655041	10.1689228055103	3.13935094401104	2.97555545753885	4.69026818066682
seg_32A	13.4345731417793	10.7128072780522	4.77764405592767	5.02401011673018	9.89058154875677
seg_32B	11.1392410949899	9.30813899048086	4.40122552355852	3.63354960849404	4.89331875953517
seg_32D	13.1739918819198	10.710118426927	3.38018889835877	4.95837321191078	6.49363442839721
seg_33A	12.5733641184528	11.19656136464	5.65170263538224	5.40154342755323	9.22068186654538
seg_33C	12.0375039871045	10.4908408366256	3.32974688731908	4.55127154886323	5.30866377331286
seg_33D	11.929064263829	11.3312405455491	3.90749119275273	4.09525693846503	7.58053690269835
seg_34B	12.1541420521935	9.05233564569447	3.54396506826185	3.86848235669175	5.43927770069956
seg_34C	11.0068236892015	10.1317261735504	4.04196153499793	4.76048207348711	8.11459833701129
seg_34D	13.8472836649746	10.8216648103135	4.30479654534975	4.45777502933191	7.1430194622756
seg_35B	11.4416458067665	9.44146338911782	4.35987561506301	3.69684213870543	6.02029556449857
seg_35C	13.3928740747491	10.0548055843302	3.5923071524351	5.261930006799	7.47041710332332
seg_35D	12.4471769705123	14.5002117025355	NA	NA	9.03995661367321
seg_36A	9.99393726907638	9.3956165787246	4.72815733383958	NA	8.45975894150166
seg_36B	13.1355957401324	9.45362572437503	3.80207283268231	5.00340571039534	6.35333602551772
seg_36C	12.9410661426477	11.0120786794773	NA	4.27979651276589	6.48865385879712
seg_36D	13.1147088345288	13.9516457671937	NA	4.76395352095189	7.53869785133118
seg_37B	13.5062515338789	8.56194068746789	NA	NA	NA
seg_37C	11.8921418154962	10.8214522994724	2.84853971182151	3.92908287030629	7.79174129575609
seg_37D	13.2558820791359	10.0433709488823	4.82206299243541	5.39382835488097	8.93297428333801
seg_38B	13.1584468991252	10.4703495288415	5.13313712690165	4.28410810508149	9.01768628507827
seg_38C	12.3312164908441	9.38347214521649	3.35776078260053	3.95252854316465	4.59978620819447
seg_38D	12.7722721365023	12.3173189454609	5.05817591255962	4.78907265606732	6.81292377028142
seg_39A	13.0806339611269	10.281021653828	3.8229413942666	4.15237776224622	6.08477159936924
seg_39C	11.2653114988101	11.0283571769869	5.93682900855559	3.67065001168555	8.11377831363008
seg_39D	12.1000135543781	8.50416663031599	5.11343522045523	3.52562354626764	7.66315348513741
seg_40A	10.9383254806528	11.4936557272019	5.85245308385191	3.93421811359829	NA
seg_40B	13.1188862580297	10.4049162960693	3.21817886163366	NA	9.87253385146786
seg_40D	12.2375783644469	9.53728359320286	3.89492625854393	3.80691317835777	5.28168440290253
seg_41B	13.4635215879337	11.0543871802074	3.02602640004632	4.3806430473295	6.38451160909418
seg_41C	12.2818818543568	11.4780160976647	6.19940856649578	3.60579415447807	7.75820411481982
seg_41D	10.4397918741905	10.2077815024117	5.30454243290379	3.88855601620876	8.49774948839783
seg_42A	12.2677432080491	10.5334451246673	5.28209500445995	4.58814978771963	6.10661576744573
seg_42B	12.970105295563	9.86228004767859	2.45236622486727	5.21072551383343	8.53195552329584
seg_42C	12.6358124229706	9.90020954494383	4.4538833348331	4.35726256634863	7.90126021781779
seg_43A	9.77163987182596	9.71403512359623	2.87562641013108	2.9468539603036	4.63442682120507
seg_43B	13.5891542388881	10.3231770369542	2.96997012557436	4.6475141375037	6.09088408290157
seg_43D	13.550195616774	11.0266523012522	5.1607309596624	4.44944487185357	NA
seg_44A	11.5612929362683	9.43939034537497	4.10260685849623	3.30889854696925	6.92165153895621
seg_44B	13.3024627889473	10.0186350372355	3.94760349285632	4.71363385479026	5.34223520234787
seg_44C	13.9045231860473	11.2552251996866	4.68344836787328	4.45904482190576	8.50146425111369
seg_44D	13.3958465632704	10.8126798486626	4.71090201688475	4.60902501586804	7.27039187893719
seg_45A	11.3403973324123	10.126404352083	4.59456786179427	3.5787799246428	4.94329047088266
seg_45C	12.5764523475455	10.2659754938246	3.92174758595675	4.79800842760397	8.79898560244966
seg_45D	11.2159356285167	9.64986511415668	5.19862949148075	2.76120259265709	8.36933354968946
seg_46A	12.2685127593037	11.3634081375801	4.5399446348977	4.63549109460741	6.4040864303384
seg_46B	12.6982062018023	10.643904984583	3.7823498562294	3.73947632477795	8.69871991950873
seg_46C	14.4428390573446	NA	NA	NA	9.3159297347315
seg_46D	10.4180931375682	11.8241201709432	4.85261113207845	NA	6.4064183561098
seg_47A	13.2268072826941	11.6029841967884	4.71998612497349	5.24823632802339	6.30311366479568
seg_47B	12.5490224502952	10.6913626599994	3.63676675495062	5.11226811060119	7.41077561309776
seg_47C	11.7359583359017	7.37176075682036	3.00503881173548	5.12320010697129	9.16050831133422
seg_48A	11.2382763985246	10.2384879794219	NA	3.60712532533445	7.84116949315973
seg_48D	14.4495205835302	11.5690871407759	3.04917573506955	5.26250059778588	7.11003824835314
seg_49A	NA	9.38597075764814	5.25892920386645	3.85084132569392	4.59239463872278
seg_49B	NA	9.67345746108121	3.53125845324336	4.64953156323333	5.70208734329682
seg_50A	NA	9.68477250671894	4.08430104145131	4.51261376778694	4.30338208857138
seg_50B	NA	9.60258101290955	3.08415279061445	4.96649627096239	6.58385223621067
seg_50D	NA	NA	2.17175206689768	5.28298477647839	7.4219677040939
